Year,Pilot,Colors,Format
2010,Luis Scott-Vargas,RWG,Standard
2010,Daniel Grafensteiner,WGB,Standard
2010,Kyle Boggemes,RGB,Standard
2010,Simon Gortzen,RGB,Standard
2010,Niels Viaene,WUB,Standard
2010,Yoshihiko Ikawa,RGB,Standard
2010,Craig Wescoe,W,Standard
2010,Jeroen Kanis,R,Standard
2010,Noah Swartz,UW,Block Constructed / Limited
2010,Andrea Giarola,RG,Block Constructed / Limited
2010,Guillaume Matignon,UB,Block Constructed / Limited
2010,Jeremy Neeman,BUG,Block Constructed / Limited
2010,Josh Utter-Leyton,RUG,Block Constructed / Limited
2010,Paulo Vitor Damo da Rosa,GB,Block Constructed / Limited
2010,Kotarou Ootsuka,WUB,Block Constructed / Limited
2010,Brad Nelson,RGB,Block Constructed / Limited
2010,Paul Rietzel,W,Extended
2010,Brad Nelson,WGB,Extended
2010,Michael Jacob,BUR,Extended
2010,Marijn Lybaert,U,Extended
2010,Brian Kibler,WGB,Extended
2010,Thomas Ma,RGB,Extended
2010,Guillaume Wafo-Tapa,WUB,Extended
2010,Kai Budde,W,Extended
2011,Ben Stark,UW,Standard
2011,Paul Rietzl,RW,Standard
2011,Vincent Lemoine,RW,Standard
2011,Naoki Nakada,UW,Standard
2011,Nico Bohny,WG,Standard
2011,Patrick Chapin,UW,Standard
2011,Tom Martell,UW,Standard
2011,Shintaro Ishimura,URb,Standard
2011,David Sharfman,W,Block Constructed / Limited
2011,Toshiyuki Kadooka,R,Block Constructed / Limited
2011,Fabian Thiele,R,Block Constructed / Limited
2011,Elie Pichon,W,Block Constructed / Limited
2011,Tsuyoshi Fujita,BURG,Block Constructed / Limited
2011,Gaudenis Vidugiris,B,Block Constructed / Limited
2011,Pat Cox,W,Block Constructed / Limited
2011,Luis Scott-Vargas,W,Block Constructed / Limited
2011,Samuele Estratti,UR,Modern
2011,Josh Utter-Leyton,WURG,Modern
2011,Samuel Black,U,Modern
2011,Chikara Nakajima,R,Modern
2011,Jesse Hampton,RG,Modern
2011,Max Sjoblom,UR,Modern
2011,Andrejs Prost,UR,Modern
2011,Alessandro Portaro,UR,Modern
2012,Brian Kibler,RG,Standard
2012,Paulo Vitor Damo da Rosa,RG,Standard
2012,Jon Finkel,WUB,Standard
2012,Mamoru Nagai,B,Standard
2012,Denniz Rachid,UW,Standard
2012,Lucas Blohon,RWG,Standard
2012,Matthew Costa,UW,Standard
2012,Jelger Wiegersma,WUB,Standard
2012,Alexander Hayne,UW,Block Constructed / Limited
2012,Gaudenis Vidugiris,WUG,Block Constructed / Limited
2012,Ken Yukuhiro,BRGW,Block Constructed / Limited
2012,Joshua Cho,RWG,Block Constructed / Limited
2012,Jon Fuinkel,WUG,Block Constructed / Limited
2012,Denniz Rachid,WG,Block Constructed / Limited
2012,Thomas Holzinger,RWG,Block Constructed / Limited
2012,Naoki Shimizu,RWG,Block Constructed / Limited
2012,Stanislav Cifka,UW,Modern
2012,Yuuya Watanabe,RGB,Modern
2012,David Ochoa,RGB,Modern
2012,Shi Tian Lee,RUG,Modern
2012,Pedro Carvalho,U,Modern
2012,Eduardo Sajgalik,UW,Modern
2012,Kevin Chew,WUB,Modern
2012,Willy Edel,RGB,Modern
2013,Tom Martell,RWB,Standard
2013,Joel Larsson,UWR,Standard
2013,Ben Stark,WUB,Standard
2013,Eric Froehlich,RWG,Standard
2013,Owen Turtenwald,RGB,Standard
2013,Stephen Mann,RGB,Standard
2013,Melissa DeTora,WUG,Standard
2013,Gerry Thompson,UWR,Standard
2013,Craig Wescoe,WG,Block Constructed / Limited
2013,Dustin Ochoa,WUB,Block Constructed / Limited
2013,Josh Utter-Leyton,WR,Block Constructed / Limited
2013,Makihito Mihara,WUB,Block Constructed / Limited
2013,Andrejs Prost,UW,Block Constructed / Limited
2013,Matej Zatlkaj,WUB,Block Constructed / Limited
2013,Rob Castellon,WBRG,Block Constructed / Limited
2013,Andrew Shrout,WUR,Block Constructed / Limited
2013,Jeremy Dezani,U,Standard
2013,Pierre Dagen,U,Standard
2013,Samuel Black,U,Standard
2013,Makihito Mihara,G,Standard
2013,Guillaume Wafo-Tapa,B,Standard
2013,Paul Rietzl,R,Standard
2013,Kentaro Yamamoto,WUB,Standard
2013,Kamiel Cornelissen,BW,Standard
2014,Shaun McLaren,UWR,Modern
2014,Jacob Wilson,WGB,Modern
2014,Patrick Dickmann,RUG,Modern
2014,Anssi Alkio,RUG,Modern
2014,Christian Seibold,U,Modern
2014,Lee Shi Tian,UR,Modern
2014,Tim Rivera,WUR,Modern
2014,Chris Fennell,UR,Modern
2014,Patrick Chaplin,WGB,Block Constructed / Limited
2014,Nam Sung Wook,WGB,Block Constructed / Limited
2014,Josh Utter-Leyton,BUG,Block Constructed / Limited
2014,Yuuki Ichikawa,RWG,Block Constructed / Limited
2014,Reid Duke,BUG,Block Constructed / Limited
2014,Andrea Mengucci,RWG,Block Constructed / Limited
2014,Stanislav Cifka,WR,Block Constructed / Limited
2014,Jamie Parke,BUG,Block Constructed / Limited
2014,Ivan Floch,N/A,Standard
2014,Jackson Cunningham,N/A,Standard
2014,Pierre Mondon,N/A,Standard
2014,Owen Turtenwald,N/A,Standard
2014,Patrick Cox,N/A,Standard
2014,Yuuki Ichikawa,N/A,Standard
2014,William Jensen,N/A,Standard
2014,Matt Sperling,N/A,Standard
2014,Ari Lax,WGB,Standard
2014,Shaun McLaren,WUR,Standard
2014,Thiago Saporito,WGB,Standard
2014,Mike Sigrist,WGB,Standard
2014,Ivan Floch,WUR,Standard
2014,Ondrej Strasky,WUR,Standard
2014,Yuuya Wantanabe,WUR,Standard
2014,Lee Shi Tian,UB,Standard
2015,Antonio Del Moral Leon,UR,Modern
2015,Justin Cohen,GU,Modern
2015,Jelger Wiegersma,UR,Modern
2015,Jesse Hampton,WGB,Modern
2015,Eric Froehlich,WGB,Modern
2015,Seth Manfield,RW,Modern
2015,Jacob Wilson,WGB,Modern
2015,Lee Shi Tian,R,Modern
2015,Martin Dang,RG,Standard
2015,Shota Yasooka,UB,Standard
2015,Ondrej Strasky,RG,Standard
2015,Adrian Sullivan,UB,Standard
2015,Jason Chung,RG,Standard
2015,Marco Cammilluzzi,WGB,Standard
2015,Thomas Hendriks,RG,Standard
2015,Andrew Ohlschwager,WUB,Standard
2015,Joel Larsson,R,Standard
2015,Mike Sigrist,UR,Standard
2015,Paul Jackson,RG,Standard
2015,Matthew Sperling,WGB,Standard
2015,Kentaro Yamamoto,WGB,Standard
2015,Stephen Neal,R,Standard
2015,Patrick Cox,R,Standard
2015,Stephen Berrios,UR,Standard
2015,Kazuyuki Takimura,WGB,Standard
2015,Ryoichi Tamada,WUR,Standard
2015,Jon Finkel,WUBR,Standard
2015,Paul Dean,WGB,Standard
2015,Owen Turtenwald,WUBR,Standard
2015,Ricky Chin,WG,Standard
2015,Paulo Vitor Damo da Rosa,RG,Standard
2015,Martin Muller,WUR,Standard
2016,Jiachen Tao,C(UR),Modern
2016,Ivan Floch,C(UR),Modern
2016,Patrick Dickmann,U,Modern
2016,Luis Scott-Vargas,C(UR),Modern
2016,Pascal Maynard,U,Modern
2016,Shuhei Nakamura,C(UR),Modern
2016,Frank Lepore,C(UR),Modern
2016,Andrew Brown,C(UR),Modern
2016,Steve Rubin,WG,Standard
2016,Andrea Mengucci,WUG,Standard
2016,Shota Yasooka,WUB,Standard
2016,Seth Manfield,WUB,Standard
2016,Luis Salvatto,WR,Standard
2016,Luis Scott-Vargas,GB,Standard
2016,Brad Nelson,RG,Standard
2016,Jon Finkel,GB,Standard
2016,Lukas Blohon,WB,Standard
2016,Owen Turtenwald,RUG,Standard
2016,Luis Scott-Vargas,WUG,Standard
2016,Samuel Pardee,GB,Standard
2016,Yuta Takahashi,WUG,Standard
2016,Reid Duke,RG,Standard
2016,Ken Yukuhiro,RG,Standard
2016,Andrew Brown,RUG,Standard
2016,Shota Yasooka,BUR,Standard
2016,Carlos Romao,WUR,Standard
2016,Ben Hull,WR,Standard
2016,Makis Matsoukas,WR,Standard
2016,Joey Manner,UW,Standard
2016,Shi Tian Lee,WRB,Standard
2016,Matthew Nass,RUG,Standard
2016,Pierre Dagen,UR,Standard
2017,Lucas Esper Berthound,WRB,Standard
2017,Marcio Carvelho,WRB,Standard
2017,Donald Smith,WRB,Standard
2017,Eduardo Sajgalik,WRB,Standard
2017,Yuchen Liu,WRB,Standard
2017,Paulo Vitor Damo da Rosa,WRB,Standard
2017,Jan Ksandr,GB,Standard
2017,Martin Juza,RGB,Standard
2017,Gerry Thompson,B,Standard
2017,Yuuya Watanabe,RUG,Standard
2017,Ken Yukuhiro,GB,Standard
2017,Martin Muller,RUG,Standard
2017,Chris Fennell,RUG,Standard
2017,Marc Tobiasch,RUG,Standard
2017,Christian Calcano,B,Standard
2017,Eric Froehlich,WB,Standard
2017,Paulo Vitor Damo da Rosa,R,Standard
2017,Samuel Pardee,GB,Standard
2017,Samuel Black,R,Standard
2017,Wing Chun Yam,R,Standard
2017,Yasuke Sasabe,B,Standard
2017,Shintaro Kurata,RB,Standard
2017,Felix Leong,R,Standard
2017,Seth Manfield,R,Standard
2017,Seth Manfield,BUG,Standard
2017,Pascal Maynard,UW,Standard
2017,Samuel Ihlenfeldt,WRB,Standard
2017,John Rolf,R,Standard
2017,Mike Sigrist,UBRG,Standard
2017,Piotr Glogowski,UBRG,Standard
2017,Guillaume Matignon,WUR,Standard
2017,Christian Hauck,RUG,Standard
2018,Luis Salvatto,BUG,Modern
2018,Gerry Thompson,WRB,Modern
2018,Ken Yukuhiro,RB,Modern
2018,Pascal Vieren,UR,Modern
2018,Ried Duke,WGB,Modern
2018,Javier Dominguez,WUBRG,Modern
2018,Andrea Mengucci,WUBRG,Modern
2018,Jean-Emmanual Depraz,BUG,Modern
2018,Wyatt Darby,R,Standard
2018,Goncalo Pinto,RB,Standard
2018,Owen Turtenwald,RB,Standard
2018,Marcio Carvalho,RB,Standard
2018,Kazuyuki Takimura,WUB,Standard
2018,Thomas Hendriks,RB,Standard
2018,Ernest Lim,RB,Standard
2018,Manuel Lenz,R,Standard
2018,Andrew Elenbogen,WR,Standard
2018,Luis Scott-Vargas,WR,Standard
2018,Jeremy Dezani,WR,Standard
2018,Tayu Jun Hao,WR,Standard
2018,Kasper Nielson,WR,Standard
2018,Yuuya Watanabe,UR,Standard
2018,Wilson Mok,WUR,Standard
2018,Michael Bernat,W,Standard
2023,Ried Duke,RUG,Pioneer
2023,Benton Madsen,WG,Pioneer
2023,Takumi Matsuura,W,Pioneer
2023,Derrick Davis,WURG,Pioneer
2023,Shota Yasooka,RB,Pioneer
2023,Nathan Steuer,BUG,Pioneer
2023,Chris Ferber,BUG,Pioneer
2023,Gabrial Nassif,RUG,Pioneer
2023,Nathan Streuer,RB,Standard
2023,Cain Rianhard,RB,Standard
2023,Autumn Burchett,WB,Standard
2023,David Olsen,WUBRG,Standard
2023,Javier Dominguez,RB,Standard
2023,Karl Sarap,RB,Standard
2023,Simon Nielsen,RB,Standard
2023,Yiwen Chen,UW,Standard
2023,Jake Beardsley,RB,Modern
2023,Christian Calcano,G,Modern
2023,Dominic Harvey,G,Modern
2023,Simon Nielsen,G,Modern
2023,Kai Budde,RUG,Modern
2023,Marco Del Pivo,RUG,Modern
2023,Stefano Vinci,RUG,Modern
2023,Javier Dominguez,G,Modern
2024,Seth Manfield,RB,Pioneer
2024,Simon Nielsen,WR,Pioneer
2024,Christoffer Larsen,WGB,Pioneer
2024,Mingyang Chen,BUG,Pioneer
2024,Seam Pardee,RB,Pioneer
2024,Alex Friedrichsen,BUG,Pioneer
2024,Adam Edelson,UR,Pioneer
2024,Jean-Emmanuel Depraz,UR,Pioneer
2024,Yoshihiko Ikawa,WUBRG,Standard
2024,Yuta Takahashi,UW,Standard
2024,Takumi Matsuura,WR,Standard
2024,Arne Huschenbeth,WUB,Standard
2024,Rei Zhang,UBRG,Standard
2024,Lucas Duchow,WUB,Standard
2024,Jason Ye,UBRG,Standard
2024,Sean Goddard,RUG,Standard
2024,Simon Nielsen,WUG,Modern
2024,Samuel Pardee,WUG,Modern
2024,Eli Kassis,WUG,Modern
2024,Daniel Goetschel,WUG,Modern
2024,Seth Manfield,B,Modern
2024,Noah Ma,B,Modern
2024,Jason Ye,WUG,Modern
2024,Javier Dominguez,WUR,Modern